ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3534405;OSASCO                        ;16236315
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3547809;SANTO ANDRE                   ;257854984
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3550303;SAO PAULO                     ;488696573
1994;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4113705;LONDRINA                      ;25776626
1994;REGIÃO SUL;SC;ÓLEO COMBUSTÍVEL;4211308;NAVEGANTES                    ;1015510
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3522202;ITAPECERICA DA SERRA          ;262532
1994;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3304558;RIO DE JANEIRO                ;223918262
1994;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4309200;GRAVATAI                      ;20180953
1994;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4314905;PORTO ALEGRE                  ;49694200
1994;REGIÃO NORTE;AM;ÓLEO COMBUSTÍVEL;1302604;MANAUS                        ;250690678
1994;REGIÃO SUL;SC;ÓLEO COMBUSTÍVEL;4206509;GUARAMIRIM                    ;1183040
1994;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3118606;CONTAGEM                      ;37981816
1994;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3106209;BELO HORIZONTE                ;60673613
1994;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4101804;ARAUCARIA                     ;182305620
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3548708;SAO BERNARDO DO CAMPO         ;94356169
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3548805;SAO CAETANO DO SUL            ;34683610
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3503305;ARARAS                        ;13590056
1994;REGIÃO NORTE;AP;ÓLEO COMBUSTÍVEL;1600303;MACAPA                        ;74280
1994;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3301702;DUQUE DE CAXIAS               ;100676697
1994;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3303900;PETROPOLIS                    ;11868957
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3511103;CATANDUVA                     ;24296066
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3513807;DIADEMA                       ;18751327
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3515001;EMBU                          ;13916171
1994;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3522504;ITAPEVI                       ;2495955
